content_id,days_since_last_update,content_age_days,search_volume,ctr,engagement_rate,avg_position
blog-python-basics,340,900,1200,0.015,0.22,18.5
guide-seo-2024,45,180,8000,0.045,0.55,4.2
old-product-comparison,410,1100,300,0.008,0.15,32.0
how-to-duckdb,20,90,600,0.038,0.48,9.1
legacy-tutorial-java,380,950,150,0.006,0.12,41.0
recipe-collection,60,300,4500,0.052,0.61,6.0
outdated-security-tips,290,700,900,0.011,0.19,25.3
new-feature-launch,10,30,2200,0.061,0.70,3.5
archived-case-study,365,1200,80,0.004,0.09,55.0
best-practices-2025,120,240,3100,0.033,0.44,10.8
